,tokens,labels
2932,July is the only free time that I have .,0
2933,"And I prefer tents to log cabins , as I know tents better than log cabins .",0
2934,"I used to sleep in tent once on my holiday , and tent is more suitable for camping .",1
2935,It is very kind for you to give me the chance to do two activities while I am at the Camp .,1
2936,I 'd like to have climbing and sailing .,1
2937,Actually I am quite good at climbing .,0
2938,I often go climbing in my town .,0
2939,"For sailing , well , I have n't try it before , that is why I want to have a try .",1
2940,I think it must be fun .,0
2941,"As you said , all accommodation and travel costs are paid for , but I am sure I still need some money with me .",1
2942,How much do you think that I will need .,1
2943,By the way what kinds of clothes do you think I have to get with me ?,1
2944,And is there anything eles I have to get with me ?,1
2945,"Yours sincerely Shopping is not always enjoyable I think most people will agree with "" shopping is not always enjoyable "" .",1
2946,Because so far as I know nothing is enjoyable all the time .,1
2947,"Some people might say women just love shopping , they could n't stop thinking about doing shopping .",1
2948,"Yes , it is true , this is only because nowadays people have more money than even before , and some women do n't earn money , they have no idea how diffcult to earn the money .",1
2949,Women just love spending money in shops .,0
2950,"Just imagine if one day their husbands lost their jobs , will those women still thinking shopping is enjoyable !",1
2951,So it is depend on different case .,1
2952,"For me , I do n't think shopping is enjoyable at all .",1
2953,I even hate shopping .,0
2954,I only go to shop unless I really need something .,1
2955,"Shopping is just like a nightmare to me , I think I will never understand why people love shopping .",1
2956,How can you face the same goods at the same shop all the time .,1
2957,I think most men have the same opinion as I do .,0
2958,"Some women spend their whole life doing shopping , and most of times , they do n't buy many things .",1
2959,"In my eyes they are wasting their lifes , they are hopeless .",1
2960,"Those are only my opinions , you do n't need to agree with it , but one day you might found out that what I have said is not totally wrong .",1
2961,"Dear Jane Clark , I am writing to you to give some opinions of mine abut The International Arts Festival .",1
2962,"It was a great idea and I had the pleasure of resting and relaxing , plus of getting some important knowledge from it .",1
2963,On the other hand there were some disadvantages : 1 .,0
2964,Stars and artists wee only from six countries 2 .,1
2965,Some concert halls were too small .,0
2966,So it was impossible to get tickets there .,0
2967,3 .,0
2968,I think that there were not enough plays and films .,1
2969,To sum up I want to tell you bout my suggestions for next year 's festival .,1
2970,It would be wonderful to buy some books or programms with signatures of all the stars and artists taking part in the festival .,1
2971,Also I think that dance shows should include different styles of dancing ( e.g. national dancing of all the countries ) to impress audience and not to bore with the similar scenes .,1
2972,"I hope this letter will help you in organying Yours faithfully Hello Philip , I have just got your letter .",1
2973,It is a pleasure for me to communicate with such a friend as you are .,1
2974,Thank you very much .,0
2975,In our school we have the following rules : 1 .,0
2976,Every puple has to sit alone ( I mean that one desk is given for one man ) 2 .,1
2977,"One should have such marks as ,,3 "" , ,,4 "" , ,,5 "" not ,,2 "" which is eaqual to fail .",1
2978,3 .,0
2979,Another strict rule is not to be late for your lessons .,0
2980,Otherwise you are not allowed to come in .,0
2981,These rules are strict and certainly we have endless number of just-so-called rules .,1
2982,I do n't think you will be interested in them .,0
2983,Truely speaking I am not sure about home rules .,1
2984,I think that in our family everything is based on mutual understanding .,0
2985,We do n't have old-traditioned rules or something alike .,1
2986,I 'm afraid I must be going now because I want to send you this letter today .,0
2987,I am looking forward to hearing from you soon .,0
2988,"Love Dear Mrs Helen , I have just received your letter and I want to thank you for all this information that you giving me .",1
2989,"Fist of all , it would be a good thing to say that July would be the best time to travel because it is hotest mounth in the year , and the weather shall be really nice .",1
2990,"Secondly , I think it is would be better to stay tents , so than we can have a nice time at Camp California and find many interesting games to play in .",1
2991,"However , as you asked me to choose two activities , I 'm choosing swimming and climbing , because I 'm very good at swimming and I would like to try myself at climbing .",1
2992,Despite the small expereance in climbing I do want to try this type of sport .,1
2993,"In addition , I would like to know how much money do I have to bring with me .",1
2994,I think that it is all what I would like to know .,1
2995,I 'm looking forward to hear from you .,1
2996,"Yours sincerely , Introduction The aim of this report is to suggest wich lessons and other activities should be filmed .",1
2997,I have enterwed each student from my English class .,1
2998,"Fistly , the English lesson must be filmed as the most interesting lesson at our school because it will give to students an interest to study and improve their noleges .",1
2999,"Also you can have a good practice with English with students , who came from different countries .",1
3000,"16 December 2000 Dear Ms Jane Clark , I am writing to express my profound gratitude for an excellent organisation of an annual international arts festival , where I spent two days .",1
3001,"The idea of such a festival is really magnificent and I enjoyed various art exhibitions , talks by writers and dance shows .",0
3002,"However , the festival could be even better next year .",0
3003,"Actually , there were stars and artists from six countries and it would be wonderful if you could invite artists from some others places as well for next year 's festival .",0
3004,"Besides , I was fascinated by the plays and films and you could probably organize some more .",1
3005,"Unfortunately , I am afraid that some concert halls where jazz , rock and classical concerts were held were too small and perhaps you could arrange to use bigger ones .",0
3006,"As a matter of fact , I consider one reasonably-priced weekend ticket for all events to be brilliant as it offers a unique opportunity to pay for everything all together and be able to attend different events .",0
3007,I believe your festival to be a great event in our cultural life and I am convinced that it is a success .,0
3008,I look forward to coming to the festival again .,0
3009,"Yours sincerely , Wuthering Heights - Emily Brontë For a start I would like to say that books offer us a wide range of different life stories , both realistic and unusual , they make us thoughtful and form our outlook , they make us feel and think .",1
3010,"As far as I am concerned , I enjoy reading all kinds of fiction literature as each masterpiece is unique in its own way despite the fact what sort of book it is .",1
3011,Stories that are realistic help us to understand better our own life and people around us .,1
3012,"However , reading an unusual , sometimes fantastic story we could dream about fairy lands and observe our world from another point of view .",1
3013,"I consider "" Wuthering Heights "" by Emily Brontë to be one of the books that wash away from the soul the dust of everyday 's routine .",1
3014,"It is a remarkable piece of literature , which portrays deep feelings of love and hate , depicts strong and unique characters , reveals eternal concerns with good and bad , life and death .",1
3015,This book is both realistic and unusual and in my opinion this is the core of its originality .,0
3016,It contributes to the world treasurehouse of literature and arouses irresistable fascination .,1
3017,"To draw the conclusion , I 'd like to mention that we should value realistic and fantastic stories equally if we are eager to get to understand the world and ourselves .",1
3018,"Dear Mrs Helen Ryan , i am writing to reply your questions about me .",1
3019,"Firstly , I would like to thank you abut this big opportunity you give me to visit this wonderful place like California .",1
3020,I would like to travel only in July because my boss can not give me a leaving for the other months of Summer .,1
3021,"Also , I prefer to stay in tents because I think it is a good chance for me to live with the nature and to wake up listening birds which singing .",1
3022,It will be nice !,0
3023,Then you ask me which two activities I want to choose .,0
3024,"To tell you the truth , I would prefer to do swimming and singing .",0
3025,I 'm good in both of these .,1
3026,I have been swimming for eight years !,0
3027,Also I like a lot music and everybody tells me that I have a good voice .,1
3028,I would like ask you about the weather .,1
3029,I want to know if I should bring warm clothes or not and how much money .,0
3030,"Your sincerely Dear Kim , how are you ?",1
3031,Thanks for you letter .,1
3032,It was good to hear from you now .,0
3033,As you know this Summer I really enjoy myself doing things I like a lot .,1
3034,"Last month , Alice and her friends proposed me to help at a pop concert .",1
3035,The group which was singing was very famous and I was able to meet them and to chat about their plans for the future .,0
3036,All I had to do was to prepare something to eat before the concert and to control during it about the sound .,1
3037,The concert lasted four hours and in the end they wanted to pay me .,1
3038,"I did n't want to take any money because I was so happy that I had seen the concert of "" Savage Garden "" in live and because that night was the best of my life .",1
3039,"But the thing I particularly liked about my experience , was the feeling when you are near and when you talk with the people so famous .",1
3040,OK !,0
3041,That 's all for now .,0
3042,I 'm waiting for your letter .,0
3043,"See you soon , Margaret xxx P.S. I hope you will find the spare time to visit my country this Summer .",1
3044,"Thuesday 13th June 2000 Dear Mrs Helen Ryan , I 've just received your letter , and I am very delighted to be the winner .",1
3045,I thank you. .,1
3046,"As regards to the time I would like to travel , I would like to make you aware that I can only on July because I am very tied up this time owing to he exam period which will last until the end of June .",1
3047,"I 'd rather have accommodation in tents , it would be a good experience for me especially because I have n't lived it as well as it is more romantic .",1
3048,"As you have informed me , there are a lot of activities that we can do .",0
3049,The swimming is my best sport .,1
3050,I was born and raised on a Greek island called Crete .,0
3051,The sea is part of myself .,1
3052,"Furthermore I will have the opportunity to play basketball , despite the fact that I am not too tall for this kind of sport .",1
3053,"However , I used to play basketball in my school because we had n't other sport pitch except of the basket pitch .",1
3054,"Finally , would you mind to send me more information about the amount of money that I should have .",1
3055,"Also , what about the life out of the camp ?",1
3056,Are there other places for entertainment especially for the night life ?,1
3057,Could you send me some brochures for the place where we will stay in ?,1
3058,"Thank you again , and I am looking forward to your reply , Yours sincerely , The aim of this report is to give some suggestions about the short video which my college is going to make about the daily life of our school .",1
3059,It considers two points : the lessons and activities which should be filmed .,1
3060,I am of the opinion that the morning English lessons with our teacher George are worth filming and showing for many reasons .,1
3061,"Above all , they are enjoyable and interesting .",0
3062,All of us participate effectively .,1
3063,Nobody is yawning or feeling bored .,0
3064,I want this opinion wo n't imply that the other lessons of other teachers are n't interesting .,1
3065,I think we are lucky with our competent teachers .,0
3066,Besides the practical lessons of the cooking course level NVQ3 might be interesting with the delicious dishes of meat and vegetables .,1
3067,The pictures will be amazing and wonderful .,1
3068,There are many activities that they could be filmed .,1
3069,"We can film our Swimming pool , despite the artificial sunbathing .",1
3070,"It is clean , neat and tidy with helpful staff .",0
3071,The gym is good choice for filming with the sophisticated equipments that owns .,1
3072,"In addition , we can film the library which possesses thousand of works .",1
3073,"Books of various interest , with up-to-date facilities such as computers internet , CD and cassettes .",1
3074,"We should n't disregard and neglect to film the buildings and the gardens of our beautiful college , especially when we take into our consideration the fact that it is in the city of Shakespear .",1
3075,"It will be a good advertising , and will help to make the reputation of our college even more better .",1
3076,"Finally , I hope that my modest report will help the management of our college to achieve their aim .",0
3077,"To Whom It May Concern , I 'd like to say thank you for choosing me and sending me the letter .",0
3078,I am extremely excited about the camp !,0
3079,"For the camp , you need some information from me , do n't you ?",0
3080,Therefore I am going to write them down .,1
3081,"First , I 'd like to travel on July because my friend , who is French , is coming to Toronto on August .",1
3082,"Therefore , I 'd like to show her around and spend time with her as much as possible .",0
3083,"Second , I prefer log cabins than tents .",1
3084,The reason is that the camp will be two weeks and log cabins are more comfortable than tents .,0
3085,"However , if the log cabins are not available at the moment , I can stay in the tents .",0
3086,"Third , I 'd like to choose painting and surfing for the activities .",0
3087,Because I 've started surfing since 1998 and I 'm keen on surfing .,1
3088,"Also , painting is one of my favorite things !",0
3089,And I always wanted to learn how to paint .,0
3090,"Lastly , I 'd like to ask you some questions .",0
3091,I know everything is included and I do n't need to pay anything but in case should I bring some money or not ?,1
3092,And if I need to bring some money could you suggest me the amount ?,1
3093,"Also , could you suggest me what kind of clothes I should bring , please ?",1
3094,Thank you very much for reading this letter .,0
3095,I really appreciate your choosing me .,0
3096,I am really looking forward this camp .,1
3097,Thank you .,0
3098,"Truly , Yoshiko Murasaki Dear Kim , Hi !",0
3099,How are you ?,0
3100,"I 'm fine , thanks .",0
3101,"Anyway , I really enjoyed helpying at a pop concert last month so that I 'd like to write them down !",1
3102,"First , we went to this office to apply for this job .",0
3103,The interview was OK and my friend and I was hired !,1
3104,"Then , the day of the concert came !",0
3105,Can you imagine how excited we were ?,0
3106,"Our heart was bumping and we were kind of nervous , however , there were a lot of things to do so we started working .",1
3107,"After working 30 minute , a singer appeared .",1
3108,"While we were organizing the concert , she was singing on a stage .",0
3109,We could listen for free !,0
3110,I just imagined what it was like to be a singer .,0
3111,If only I could sing beautifully !,0
3112,"Anyway , by the time we finished everything , thusands of funs came in this concert hall .",1
3113,Everybody looked very excited about the concert .,0
3114,"During the concert , we had to stand to protect this singer .",0
3115,We saw some very strange fans but most of them were quite nice .,0
3116,"Actually , they were well-behaved .",0
3117,"Finally , the concert finished and we were thanked by this singer .",0
3118,"Also , we got some posteres as well .",1
3119,It was a great experience for me and my friend .,0
3120,I wish you were there with us !,1
3121,Maybe next time !,0
3122,"By the way , I think I should go .",0
3123,"Please take care and please write to me , right ?",0
3124,"Love , Yoshiko .",0
3125,20 Ibiza Road San Antonio 13/06/2000 Helen Ryan Competition Organiser Dear Madam : I 'm writting to you with reference to the letter I have received from you saying I have won your competition .,1
3126,"First of all I 'd like to thank you for the prize , I will enjoy it abosolutly .",1
3127,Your letter encloses an application I have to fill with some information for the travel .,1
3128,"Well , as you demand , I tell you I would like to travel as soon as July begins , I 'm going to be able only this summer month because my job responsabilities .",1
3129,"Acording to the choice whether I prefer tends or log cabins , I think I will turn to the first one because I have always loved camping the nearest to nature , if it 's possible in front of a lake or a river , if you camping has one , so that I will be able to practise my favorite and skillful hobby : sailing .",1
3130,"As well as this one I 'll take painting , I 'm very keen on art and I think I 'm good at making portraits .",1
3131,"Finally , I 'd like to add some further questions : what kind of clothes do I have to bring ?",1
3132,", Do I any kind ?",1
3133,", and Would it be necessary to bring money ?",1
3134,", how much ?",1
3135,"Thank you very much , and I hope the information above would be sufficient .",1
3136,"I look forward to hearing from you Your faithfully Jose Fernandez "" Wuthering Heights "" by Emile Brnte I think this statement is a very truly afimation in the case of my book because the main character of the story is a very wicked man .",1
3137,"Besides that , this character is more interesting than others due to his complex mind and his deep evil manners .",1
3138,"It 's the richest character at all , his name is Heathcliff , and he 's the reason of whatever happens to the others characters .",1
3139,"They are always suffering the revenge that Heathcliff swear , cause of which is the miserable situation the other character have put him in .",1
3140,From this point of view I think Heathcliff should n't be hated by his bad temper .,1
3141,He 's not good not because he was born with this trend to harm but the others character make him become thus .,1
3142,"This revenge links the story so without it we would not have such "" Wuthering Heights "" .",1
3143,"I sympathize with Heathcliff because I think every bad character is a very important point of every book , film or play and if they were missing we would not love those stories we enjoyed while we were reading them .",1
3144,"Dear Mrs Ryan , Thank you for your letter of 13 June .",0
3145,I am very happy to have won the first prize in your competition .,0
3146,"I would like to travel only in July , because I have only one month holliday this year .",1
3147,"I would prefer to sleep in a tent , because I think is a great fun and a bit more adventurous .",1
3148,"It is not too much confortable , but it is not a problem for me , I like this kind of holliday .",1
3149,"I am keen on photography so I would love to participated at this activity , I am very good at that and it would be a pleasure for me to help the others .",1
3150,"I also will take painting , because I always dream about painting , but I never try to , so I think it is a good occasion .",1
3151,"I would be grateful if you could tell me what kind of clothes I have to take with and how many money , more or less , do you think I should take .",1
3152,Thank you to ask me my taste and to be preoccupated about it .,1
3153,I look forward to hearing from you as soon as possible .,0
3154,"Yours sincerely , Audrey Gillett Dear Kim , Like you know last month , I had helped at a pop concert and I enjoyed it a lot .",1
3155,"Firstly I had to make the decor of the scene , so I made in the background a sky with a lot of bright stars .",1
3156,Then I put some blue lights. furthermore I made some stars in paper in argent color .,1
3157,But that was only the begining of my adventure .,1
3158,The most exiting part was when I had to make up the pop stars !,1
3159,"I never had met pop stars before and I was very impresed , but I was too happy to show my shyness .",1
3160,"Do you believe that I spoke with Micheal Jackson , my favourite singer ?",0
3161,I ca n't believe it yet !,0
3162,It was a wonderful experience .,0
3163,I will remember that day for the rest of my life .,0
3164,It was like a dream who becomes tru .,1
3165,I wish you had been there with me .,0
3166,I ca n't explain how supper it was .,1
3167,I stayed with him until the concert begun and after the show I had the opportunity to stay in his private room with him and the other dansers .,1
3168,"Well , I have to leave you now , but I will tell you more details when we next meet each other .",1
3169,See you soon .,0
3170,"Love , Audrey Dear Mr Brown , I went to the Circle Theatre yesterday , to see the play "" Over The Rainbow "" and I must say that I got rather disappointed .",1
3171,"First of all , the play was supposed to start at 7:30 P.M. but it actually started only at 8:15 P.M. so I had to wait forty-five minutes .",1
3172,"Also , your advertisement sign says that discounts are available .",1
3173,"What is quite not true because when I asked for it , the woman who sells the tickets replied with a resounding "" no "" .",1
3174,"When the play finally started , and the two actors entered the stage , I could see that the male one was not Danny Brook , differently from what the advertisement sign says , what really disappointed me since he was the only reason that I came to this play .",1
3175,But my complaints are not over yet .,0
3176,"After the disappointing performance the actor who replaced Danny Brook , I went to the theatre restaurant , and , also differing from the advertisement sign , it was closed .",1
3177,"There was only a small sign stamped on the door , saying that it was "" closed for repairs "" .",1
3178,"So , unfortunately , I must say that last night was one of the worst nights I ever had , and given the reasons , I expect to count with your sense of responsability , so , I feel that I must ask for my 20 pounds spent on that terrible night .",1
3179,"yours faithful , How has modern technology changed your daily life ?",1
3180,"As we all know , technology had a gigantic improvement over the last 20 years , and today , it affects us in many ways .",1
3181,"First of all , we all became much more sedentary than in the past .",1
3182,"Most of the modern jobs involves computers , so there is no physical effort , just mental , but , on the other hand , we improved communications with computers and Internet , a kind of communication where there is no need to meet personally , to see the other person , just the need to talk .",1
3183,"Also , with today 's machines , factories have significantly increased their production , what brings progress to humanity , but also , with the continous replacement of men by machines , the unemployment is increasing too , and today , it worries every single citizen of the world , specially the ones who lives in third world country .",1
3184,"So , men have invented machines to help him on his tasks , but nowadays , we our becoming slaves of them .",1
3185,"The most important thing in the future will be knowing how to deal with machines , so , today 's children must be introduced to computers since an early age , so that they could have a chance to compete with the furious emearrence in the future .",1
3186,"Dear Sir , After having read your letter , I write to you to inform you that I would like to travel in July .",1
3187,It is the only month where I do n't work .,1
3188,"As for the accommodations I would prefer a tent , there 's nothing like hearing raindrops on canvas at night !",1
3189,"Last but not least , I would like to go sailing and climbing .",0
3190,I have sailed some in my youth but have never went climbing .,1
3191,It would be a fun experiance !,1
3192,Will I be needing any money .,1
3193,Please send me a list of needed clothes and/or supplies .,1
3194,Thank you very much .,0
3195,"Yours sincerely , Gilbert Neville P.S .",0
3196,I would like to know if there is a medical staff present during the two weeks ?,1
3197,Does any medication have to be declared to them ?,0
3198,"In case of any accidents , will the transport back home be paid for ?",1
3199,Why can shopping be unenjoyable ?,1
3200,"First of all , it depends on who is with you and what the other person likes to shop for .",0
3201,"Some people are boring to shop with , they do n't talk or comment anything they see .",1
3202,Why would anyone shop with that type of person ?,0
3203,"Well , I really do n't know .",0
3204,"Women , in perticular , have the annoying habit of always having to touch everything they see .",1
3205,"If it is something they like , they always have to try it on .",0
3206,We all know how it is when a woman tried on some clothes ( usually several ) but it 's still better than when we 're talking about shoes !,1
3207,That has to be the worst .,0
3208,"Seeing or imagining a woman in the cloths she chooses can at least help when being bored , but shoes are just shoes .",1
3209,Shopping for them is a very long and tiring experiance .,1
3210,"It seems to last forever and just when you think she 's done , she spots an othe pair .",1
3211,Shopping for me is supposed to be a very fast experiance .,1
3212,"As soon as someone else is with you , it can become horrible !",0
3213,"Dear Sir or Madam I am writing to complain about the musical show "" over the rainbow "" .",0
3214,"I recently booked a week 's holiday in London to see the musical "" over the rainbow "" the date was the 9th of June 2000. from your firm .",1
3215,"It was said that Danny Brook should play the leading part , but there was a different actor instead .",1
3216,This made me really disappointed .,1
3217,"We arrived at the theatre at 19,00 since the play should start at 19:30 but we had to wait until 20:15 then it started .",1
3218,"It was also said that discounts was available but this was wrong , because we could n't get any discounts .",1
3219,The theatre Restaurant that should be open after the show was closed because the chief was ill and there was no food in the fridge .,1
3220,This should have been our perfect evening out but it was n't .,0
3221,I am not satisfied with this musical show at all .,0
3222,I am therefor writing to ask for a full refund I am expecting to receive a cheque for £ 20 .,1
3223,"Yours faithfully Anne Svensson Unfortunately , Pat was n't very good at keeping secrets .",0
3224,How should she manage to keep quiet about this .,1
3225,This was the best thing that ever had happend in years for the Fennall family .,1
3226,Pat 's sister-in-law was having a baby but she wanted to wait and tell the rest of the family .,0
3227,She realised that telling Pat was a very bad idea but now it was done .,0
3228,Pat was so happy the whole day and wanted to tell her mother but Maria told her not to .,0
3229,Maria was still a little bit chocked over the naus of having a baby .,1
3230,She and her husband Peter had been trying for so long and now they had succeeded .,0
3231,Many weeks went by and Maria and Pat did n't say a word about it .,0
3232,The rest of the family understood that something was wrong because Pat started to buy baby clothes .,0
3233,Which was very chooking for her mother .,1
3234,"One day when they all sat down at the kitchen table for having their lunch Pat said , - "" Maria and Peter are going to have a baby "" !",1
3235,The End .,0
3236,"Dear Mrs Ryan , I AM REALLY ENTHUSIASTIC ABOUT THE PRIZE I 'VE WON , I 'M WRITING TO GIVE YOU THE INFORMATION YOU ASKED ME FOR AND , IF IT 'S POSSIBLE , TO HAVE SOME FURTHER DETAILS ABOUT THE CAMP .",1
3237,"I WOULD PREFER TRAVELLING IN JULY , BECAUSE I HAVE MY EXAMS IN JUNE AND I 'VE SIGNED FOR A CONTRACT AS A SHOP ASSISTANT STARTING IN AUGUST .",1
3238,"SINCE I HAVE THE CHOICE FOR MY ACCOMODATION , I 'LL DEFINETELLY GO FOR THE LOG CABINS , BECAUSE I CA N'T BARE THE HEAT INSIDE THE TENT .",1
3239,"OUT OF THE LIST OF ACTIVITIES GIVEN I 'VE CHOSEN GOLF AND PHOTOGRAPHY ; GOLF BECAUSE I LOVE THE SPORT ALTHOUGH I DO N'T GET TO PLAY IT MUCH ( I 'M NOT BAD AT IT ) , AND PHOTOGRAPHY BECAUSE IT 'S SOMETHING I 'VE ALWAYS LOVED TO LEARN BUT I 'VE NEVER HAD THE CHANCE .",1
3240,"WHAT I WOULD LIKE TO ASK YOU IS ABOUT THE WEATHER CONDITIONS , SO I CAN DECIDE ON WHAT CLOTHES TO TAKE , AND ABOUT COSTS , SO I CAN MAKE A BUDJET FOR THE HOLIDAY .",1
3241,"YOURS SINCERELY Angelo Costa DEAR KIM , I 'M REALLY GLAD YOU WROTE TO ME TO ASK HOW EVERYTHING HAD GONE AT THE CONCERT ; SO I 'M GOING TO TELL YOU HOW THINGS WENT .",0
3242,"MY JOB MAINLY INVOLVED HELPING TO SET THE STAGE AND TO TAKE IT DOWN AFTER THE CONCERT , BUT I ALSO GAVE A HAND BACKSTAGE WHEN NEEDED .",1
3243,"I WAS PART OF THE STAFF , WE ALL HAD A SPECIAL PASS CARD AND THEY ALSO GAVE US A T-SHIRT AND A CAP ( I 'VE GOT AN EXTRA ONE FOR YOU ) ; OUR WORK STARTED TWO DAYS BEFORE THE CONCERT , AND I MUST SAY IT WAS REALLY HARD , SPECIALLY BECAUSE WE WORKED UNDER THE SUN , FROM 8.00 A.M TO 8.00P.M .",1
3244,WITH AN HOUR BRAKE FOR LUNCH AND IT WAS THE SAME AFTER THE CONCERT .,1
3245,"AFTER THE STAGE WAS SET , THE REST OF THE THINGS I HAD TO DO WERE QUITE EASY AND ENJOYABLE ; I COULD STAY EITHER BACK OR FRONT STAGE AND GIVE A HAND IF NEEDED , I REALLY ENJOYED IT BECAUSE I LEARNT A LOT OF TECNICAL THINGS I DID N'T KNOW ; AND WHAT I ALSO ENJOYED WAS THE GOOD PAY !",1
3246,Lots of love Angelo .,0
3247,"Dear Sir or Madam , I 'm writting to you to complain about a theatre play I have seen , called : "" Over the rainbow "" .",1
3248,"This show was for me very disappointing for many reasons : First of all , I was very surprised by the no presence of the famous actor , Danny Brook , who was one of my reasons to book a sit .",1
3249,"Also , I 'm unhappy about the bad informations of your advertisement , which clearly says , the play begins at 19.30 instead of 20.15 as my evening show .",1
3250,"At the end of show , unfortunately for me and the others spectators , the worst thing happened : the theatre 's restaurant was closed without any reasons and nobody went to us to apologise or advice us for an other restaurant opened late in the night .",1
3251,"That 's why , in return of all those problems , I 'm asking you to give back some money .",1
3252,I 'm looking forward to have an answer from you .,1
3253,Yours faithfully .,0
3254,BOUCHER Jean-Pierre .,0
3255,"Unfortunately , Pat was n't very good at keeping secrets .",0
3256,That 's why all his friends were angry against him and let him alone .,1
3257,It was clear that Pat had to change and show to his friend that they can believe in him thrutly .,1
3258,"For those next days , Pat will do his best to be the most sympathic as possible .",1
3259,"To beginning , every morning Pat says a pleasant "" hello "" in adding to that a big smail .",1
3260,"His mother always says : "" If you are smailing and are nice with the people , the poeple would be nice and would smail to you "" .",1
3261,"As Pat does always what his mother says his friends began to play again with him , but not just his old friends , every body wanted to play with me .",1
3262,The morality of the story is here very clear : be nice with the people and the people will respect you and will appreciate you as a friend .,1
3263,"Dear Helen Ryan , Thank you for the information , that I won the competition .",1
3264,I 'll try to answer your questions .,0
3265,"I would preffer travelling in July , I have only these time , because my summer holidays during these days .",1
3266,"To your answer about living in tents or cabins , I would like to sleep in a tent .",1
3267,"A cabin remember me too much to my home and is too confortable , that is n't what I want to have if I live in a wild area .",1
3268,"My favourite sports are climbing and surfing , I 'm very good at climbing but for surfing I need some practise .",1
3269,"Yes , I have some questions on clothes , what should I take with me and how much money will I need ?",1
3270,"I hope , I was able to answer your questions and you will perhaps soon give me a reply on my ones .",1
3271,"Yours , Vadim Titov Dear Kim , You ca n't believe what I did last month .",1
3272,I was given the opportunity to build up the concert and of course I took my chance .,1
3273,"First I arrived really early in the morning on the place , but the people were just working and I joined them .",1
3274,"My duty was to montage the spot lights on the right places , but it was n't just easy .",1
3275,You had always some problems because like not having enough wire or the lamps were broken by the transport .,1
3276,"The experience that I made was , that I had never worked in a such perfect team .",1
3277,"I was able to ask anybody , and he answered detailly , althoug he was full of work .",1
3278,"After the hard work we took cool drinks , sat down on the ground and enjoyed the pop concert .",1
3279,And as the pop stars thanked us for our hard job we all were a little proud to be here .,1
3280,"Love , Vadim Dear Sir/Madam , I 'm writing you followwing our visitting your theatre last night .",1
3281,"As I saw from your advertisement in the newspaper , it said ' Starring : Danny Brook and Tina Truelove ' .",1
3282,I was disappointed when I found the actor was n't Danny Brook !,0
3283,"And from your advertisement , the show should start at 19.30 but it did n't .",1
3284,It was 45 minutes late !,0
3285,"And also I could n't buy tickets with my credit card but on the advertisement , it said ' discounts available ' I was really annoyed by that !",1
3286,"After the show , we expacted to eat something in your restaurant , but it closed !",1
3287,I have no idea why !,0
3288,We had a really unenjoyable time at your theatre .,0
3289,And I would like to know if it posible to have the money back .,1
3290,Thank you very much and I look forward to hear from you .,1
3291,"Yours centainly , Porawek Phowrung .",1
3292,Unfortunately Pat was n't good at keeping secrets .,0
3293,So one week later all student in my class knew that I was an angle .,1
3294,Certainly !,1
3295,Nobody believed her ... neither me .,1
3296,But it 's true ... I 'm an angle and I wanted to visit the earth .,1
3297,It 's easy to do but the only one rule was I can tell my secret to only one person .,1
3298,"And if someone elso knows , I wo n't be able to go back to the heaven unless I kill the person who told my secret .",1
3299,Pat was the only person who I told my secret but now it has become a joke !,1
3300,I promised to myself ... I would have to kill her !,0
3301,I started my plan .,1
3302,I went to Pat 's house but her brother told me that she was n't there .,0
3303,I offered to wait ... Her brother and I began to talk ... He 's such a nice boy .,0
3304,I liked him very much and I guessed he liked me too ... We started to go out in the same time as I started to change my mind .,1
3305,I do n't want to go back to the heaven anymore as long as I am with him .,1
3306,Dear Ryan I am writing to reply for your letter about competition .,1
3307,First of all I would like to say that I am very happy that I won first prize in your competition .,0
3308,"Secondly you asked me , when I have time for travel , so I can go only in July , because only in July I have holiday .",1
3309,"And I would like to go in the first part of this month , socond part I spend with my familly .",1
3310,"If you do not mind I would prefer tent , because in tent I will be along .",1
3311,"While I will be at the Camp I would like sailing , because it is my favorite sport .",0
3312,I am good at it - I am sailing from childhood .,1
3313,The second activities which I would like to do is surfing - I have never do it .,1
3314,"I would like to know , how much money I must have with me ?",1
3315,And what clothes I should take with me .,0
3316,I am looking forward to hearing from you .,0
3317,"Yours faitfully Aniela Chmielewski "" The Old Man and the Sea "" ' This is such a marvellous book you will want to read it again ' In my opininion this book ' The Old Man and the sea ' is the best book which Ernest Hemingway had writen .",1
3318,"Thise book is about men who know that he will die soon , he know that he did n't made his dream coom tru .",1
3319,So he decidet to go for last trip in his life .,1
3320,Hes destenation is get Marlin .,1
3321,"He is very old , and he is n't so strong that he should be .",1
3322,"He need to rest , but he do n't geve up .",1
3323,"I the end he make his drems coom tru , he get vast Marlin .",1
3324,"In thise book Hemingway is trying to tell us , that if we want something , we can get it , it can be deficult and take long time but we can do it .",1
3325,We must believe in our selfs .,1
3326,People in our ages should think about this .,1
3327,"Sometimes they geve up , befor they get something , To sum up I must say that every-one should read this book .",1
3328,Mr Manager : A few days ago I went to London to have a nice holiday .,0
3329,"I was expecting to have fun , so I decided to go to the play "" Over the Rainbow "" , thats now presenting in your theatre .",1
3330,I read the advertisement and I thought it was going to be a plesent evening .,1
3331,From the beggining it was all a disappointment .,1
3332,"When I went to buy the ticket I tried to get a discount with my student card , but that was not posible .",1
3333,"I let this pass and I bought it anyway , thinking that was posible that it was only a mistake in your advertisement .",1
