,essays,scores
72," Dear Jane Clark, I am writing to thank you for providing  International Arts Festival. It was  absolutely great idea. However, I would like to give some suggestions for next year as I have read the advertisement. Firstly, could you invite stars and artists from more than only six contries? In my opinion, it might be better to have time with  variety  nationallites. Secondly, the music concerts were very exciting and  had a lot of fun, but some concert halls were too small to enjoy them comfortably. Thirdly, I am expecting to watch more films and plays which were impressive. Lastly, it could be nice to students who are interested in  arts, if you help special events, for instance,  song contest, writing competition or dance lessons. To sum up, I hope the festival is developed next year with excellent reasonably-priced ticket like this year's. Yours sincerely,  [SEP]  PART TIME JOBS : Find in your place Do you need money? If you do, make sure why you want to earn money. That is very important to find a way for earning and saving money. Probably the best way you can get money is to have a part time job in your spare time. I am recommending you to check your possible time to work - weekdays or weekend? - before you request a job. If you just decide to work, you'd better to find a job in your place. Firstly, go to your school or local council. They will be able to help to find safe and suitable jobs for students like you. Secondly, as your family or friends. As they know about your interestings and personality, it is easy to help you. In my case, I could get a telephone researcher part by my friend's reference. In conclusion, don't forget that a job is just spent in your ""spare"" time. That's it! ",26.00
386," Dear Sir, A few days ago, as I was having a week's holiday in London, I read your advertisement which convinced me to go to see your show: Over The Rainbow. I must tell you that this show was the worst one I had ever been to. First of all, I was very disappointed by the fact that the actors who played were not the ones who were supposed to do it! I was all the more angry as the show started at 20:15 instead of 19:30 as it was written in your ad! Another problem: there was no discount available! Finally, at the end of this very disappointing evening, I decided to go to the theatre restaurant - which was also mentioned in your ad - but I was told that this latter was closed because of a private party! To put it in a nutshell, contrary to what was explained in the advertisement, it was not my perfect evening out and that is why I would like to get my money back. I look forwards to hearing from you  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. When you told her something important, she could not help telling it to someone else so as not to be the only one to know it. Actually, even though she was seventeen, she still behaved like a ten year old child and it was very difficult for her to know that she could not do or tell something - like a secret for example. Thus when Sally explained  her that she had fallen in love with Kevin, Pat felt very embarassed. In fact, she knew that even if Sally was her best friend, she would not be able to keep such a secret. It might seem a bit strange but if Pat had been able to choose whether she wanted to know a secret or not, she would have prefered not to know it. Pat was totally upset. She felt all the more ill at ease as Sally trusted her. Thus when Sally asked her not to reveal the secret, Pat ran away, when home,  locked herself in her bedroom. But when she saw the phone that she used in order to call her friends, she started to cry since she knew that she would use it. ",34.0
968," Dear Sir/Madam, I received your letter this morning and I was very suprised  it. It was  absolutely fantastic prize. I am writting  you about your questions. First, I can come there only  July because of my examination, I have to take it in June, and my new turm will also start in September. I would like to stay at long cabins because I have stayed at tents many times in my childhood. The most exciting offer is your activities. I have been interested in Painting but I have not had a chance so I would like to do it, and I would like to do climbing. My grand father used to do it when he was a student. After he has got a job, he became busy. However, he retired  his job last year so he has had his own time. If I know how to climb, I will enjoy it with my grand father. I would like to ask about my clothes and money. How much do I need to bring them? I wish I could see you soon. Your faithfully,  [SEP]  Dear Kim, How are you? You want to know about my experience at a pop concert, don't you? It was so exciting! My main working was take people to their seat because of a concert hall, which was the millenium dorm. Do you know it? It's the hottest place in England. Most of  people were first time to come there, so they're lost. I had also never been there before. It's a huge building. I also sold a panfulet of that concert, CD and T-shirts. The most exciting experience was that I could met a lot of people. I told you before that concert was performed by Elton John, so there were a lot of famouse people. When I saw Jullia Roberts, I was socked. She was abusolutelly beautiful. I have never seen that kind of long legs in my life! Did you enjoy my letter? I can't explain  you very well. Anyway, it was a wonderful time. lots of love, ",26.0
509," Dear Mr. Smith: I am writting in order to complain about the musical show ""Over the rainbow"". At first, the advertisement said that the show was starring by Tina Truelove and Danny Brook, that was not true, Danny Brook did not act in the show, it was a different actor and I got disappointed with him. In order to the times , the show was supposed to start at 19.30 and it started at 20.15, nobody likes to wait 45 minutes just watching empty scenary. Another thing, the tickets. The advertisement said that there were discounts available, that was false, there were not any kind of discounts. After all  I just wanted to go to the restaurant of the theatre and have something to eat, but it was closed because the police had closed it. They had closed it because they had found the food in  bad conditions. Just to finish, the advertisement said that the show would be a perfect evening out, let me tell  that it wasn't not. I paid  a full ticket without discounts to wait 45 minutes, to see a musical show with a bad actor and after all  could not have a sandwich because the restaurant was closed. I think the theatre should give me my money back and I hope you do it. Yours faithfully.  [SEP]  Technology. The technology has changed, is changing and it will change our daily lifes. Technology is improving every day, soon everything will be done by a machine. Now we can cook in a easier way than ten years before, we can talk with somebody who is 10000 kilometres from us and we can know what's happening in the other part of the world. Another thing  is changing our life is the computer, especially  Internet. More and more people are connecting through the net. Soon we won't need to get out from our homes. Now we can buy everything by  Internet, we can see what's happening in Wall Street, we can send mail in a easier way, by e-mail and many people has started to work at home by their computers. Technology has changed so much our daily lifes that we won't be able to live without it. Nobody can imagine to live without a T.V., a computer, a microwave, a telephone. There are machines for everything, to write, to cook, to go from one place to other, to talk with somebody who is not with you. Our lifes are very different from our grandparent's lifes and that's because  the technology. ",31.0
51," Dear Jane Clark, The purpose of this letter is to congratulate you on the International Arts Fesival I attended last weekend. I believe that the event was good, however I feel that the festival can be improved next year. Firstly I would like to tell you that the idea of organizing an International Arts Festival is fantastic, but in your advertisement it was said that I would find stars and artists from arround the world, when, in fact, they were from only six countries. I do understand that it must be difficult to get these people to go to the festival, but it would be nice if next year we could meet  other personalities. Secondly I belive you should know that a lot of people, including me, were not able to enjoy  concerts because some concert halls were too small. I would be very thankful if you could tell me if there will be more plays and films next year. Last but not least I would like you to know that I think the idea of the weekend ticket for all events was excellent because in the end it was cheaper than paying for each event separatelly. I hope you find my opinion useful. Once again congratulations on the Festival. I hope to hearing from you soon yours sincerelly,  [SEP]  tips  to earn money When the holidays began everybody is happy because it represents the beginning of a time full of fun and lots of interesting things to do, but in order to do these things we all need money and that is a big problem to most of us. there are several ways to earn a bit of money in your spare time. One of the most common examples is baby- sitting taking care of little children is easy and it doesn't require special skills, all you need is a lot of patience. If looking after children doesn't fit you, you can try  with pets. Lots of people would pay you to take their dog for a walk. So if you like animals this is your chance to earn  money and have fun at the same time. Another option is to wash your neighbour's car. In this case you need to buy the materials you will work with, but don't worry, soap is not very expensive. the most important thing is that you wisely choose the most suitable work for you, according to the things you like to do. If you don't find anything good enough for you don't worry, you should always remember: It's not all about the money! ",35.00
549," Dear Sir/madam, Thank you for your letter and your congratulations. I never thought that I would win the competition. It is really wonderful. I can stay at Camp California in the U.S.A. for two weeks. I am a student at Portsmouth College and the end of this term is 23 June, so I can only travel in July. I wonder if it is all right for that time. And for my accommodation. I  prefer live in a log cabin, because it is more comfortable. I  like to relax there and enjoy the atmosphere when I live in. I like to do some activities in water and my favourite activity is swimming. Before I came  England, I swam every weekend in my country even in winter, so I choose to do some swimming and sailing while I am at the camp. Actually, my mind has already gone there, I can't wait even for a minute. I want to go there now. By the way, I would like to know  the shopping especially for clothes, I want to buy some for myself. And do you think I need to exchange money before I go there? I look forward to your letter. Yours faithfully,  [SEP]  To: Mr Ted From: Meng Subject: About daily life at our school Introduction This report is aim to research the students about their daily life at school and give some suggestion about it. What do students do now? Lots of student normally have classes in the morning. And sometimes they do something in the library by themselves in the afteroon. For instance, reading, looking for some information or using  computer. What do they think about it? The arts students want to learn another foreign language. Moreover, some foreign students hope there will be some English classes that aim to the examination. Most of them want to do more activities in the afternoon. Recommendations Open some foreign language classes at part-time for the students who is interested in it. Let foreign students do more excises about English to help them pass the exam. Using the equipment and area what we have to organise some activities. ",26.0
135," Dear Sir/Madam; Yesterday I went to the theatre play called ""Over the Rainbow""  which I saw the advertisement in todays Guardian. I want to tell you that I am very dissapointed about the play. In the advirtisement it is written that Danny Brook was in the starring . However I didn't see him all the night. There was another actor instead of him. And also it should be started at 19.30, as I saw in the advirtisement,  which has started at 20.15! And so far there wasn't any discounts available which is written to be ""available"" in the advirtisement. I went to the theatre restaurant after the show but it was closed because of the re-decoration progress inside. You should have written it in the advirtisement. And after all  no one can say that I had a perfect evening out! Absolutely it was very dissapointing. so I want my money back. I hope you understand me and correct your mistakes in the next advirtisement and send me my money soon! Yours Faithfully  [SEP]  Simple Solutions It is over 50 years since the production of the computer and television. Our lifes changed since then Today every 5 out of 10 pupil can use  computer basicly. And almost everybody has a television in their homes. These 2 devices make my life easier. I can't go out all the time or be with my friends to have fun. So I watch Tv at home instead of sitting in a chair looking out of a window. I play   computer more than watching Tv when I get bored. The internet is the world's largest communication system ever made. I can do anything I want such as buy Cd's watch  film or even buy food. It is really enjable when I chat with pupil.  Internet brought a new way to my live since I started to use it. It is easy and very useful. I can reach any knowledge that I want to. Techology is also important in one subject for me. Transportation. I can't have to walk to school everyday for 8 months, Cars, busses and trains are very useful in daily life. Lots of thing would be hard and boring in my life  I was living in a different time than now. I can easily do what I want. Technology brought simple solutions to my life. ",24.0
670," Miss Helen Ryan: Last week I recived your letter in wich you told me that I won first prize. I am writting in response of it. First of all, I would like to travel in July, because I can arrange 2 weeks in July with my school holidays, in order not to lose classes. I think I would prefer to be in  tents, because I think it is funnier and you can be in more contact with nature, but if I don't like the tents can I change my mind? You told me to choose 2 activities and I chose surfing and singing. In both of them I am very good. I did a surf course last summer and I have gone to singing lessons almost all my life. I have a few questions. How much money should I take to spend in those two weeks? and also what kind of clothes I should take? Please, when you recive this letter give me a call so we can arrange everything. Looking forward to hearing from you Yours sincerely  [SEP]  We are going to do a video about daily life at school, the following classes are the ones I recomend to film. ENGLISH: the classroom is beautifull, and in the same day we do a lot of diferents activities, so it won't be boring watching it because we can have a great time there. CHEMISTRY: We do a lot of experiments and the materials we use are very good. I think that if we film that class the people that watches it will be impress with the equipment we have got. SPANISH: We are doing a play now. We could film it and produce it, instead of uniform we could wear costumes, the ones that are animals could pain their faces. I think that if we do it properly we could have a great spanish play. Those three classes are my choises, I hope we could do them and make a very good video about our school. ",24.0
928," 13th june 2000 Dear Ms Ryam, I was very happy to receive your letter since I was eager to spend some time in the USA. I would like to reach the camp in july, and spend there the last two weeks of the month because in August I must start studying for my examinations. As to accomodation I would like to choose a tent because I am used to travelling with my sleeping bag and my tent all over Europe. As far as activities are concerned I would prefer Basketball and Climbing. I am very good at basketball, and even if I am not a tall boy, I am a good playmaker and I play in a local team. As to climbing I am almost inexperienced but I would like to improve. I would like to ask you  some other things. Which kind of clothes have I to put in my case? I would like to know, for instance, whether the evenings there are cold or hot. Please let me know if the Camp California accepts credit cards I look forward to hearing from you Yours sincerely Fabienne Mull  [SEP]  13th June 2000 Dear Kim, I was very happy to receive your last letter. As you know I had a great time helping at a PoP Concert. I was at the concert when I met a friend of mine whose job is to organise shows like that. He told me He needed a boy who could help on stage. As you known I can do a little of everything so I accepted. I connected wires, I caried loudspeakers, and so on. When the show started I was on the stage close to  famous singers, Bono Vox and David Bowie. Towards the end of the concert I hansled a bottle of wine to Poolo Conte. I couldn't believe in it! Poolo Conte asked me to drink with Him. As you know He's my favorite singer. We started talking about music and I asked Him many things about His texts, which are beautiful but sometimes difficult to understand. I think I won't never forget that evening. I'm looking forward to hearing from you. With my best wishes Fabienne ",34.0
962," Warsaw, 13th of June 2000 Dear Mrs. Ryan, I am writing in response to your letter which I received two days go and in order to answer all questions I was asked to. First of all, the only month I will be able to visit the U.S.A. is July due to the fact that I have already arranged another trip for August. Second of all, I would prefer to live in a tent. I am used to this kind of accommodation since I have been taking part in survival camps for a long time. As far as the activities are concerned, I have chosen sailing and surfing. The reason of my decision is that other activities are availiable to take also in my county, except climbing, but I have  fear of heights so this one is not destinated for people like me. Furthermore, I would like to ask you some questions. What type of clothes should I take and how much money would be enough? Is this a kind of ""all inclusive"" holidays? Thank you in advance. Yours faithfully, Ursula Sobczak  [SEP]  Warsaw, 13 June 2000 Dear Kim, I think I told you about my plans of entering a group that helps at concerts, didn't I? Well, I took my chance and I was chosen to help at Michael Jackson's concert. Amazing, isn't it? The event took place a month ago in the Rock Stadium. There was about 100 000 people. We had a lot of things to do. Acctually, they put me very close to the stage, in the middle of the real hell. Many people fainted and some of them, the most serious cases, had to be taken to hospital. The biggest problem was connected with some foreigners who couldn't speak Polish or English and we didn't know how to help them. Despite this fact, the atmosphere was terrific. After the concert many people lost their way home, mostly foreigners who didn't know the buses' schedule. We had to order taxis for them as they didn't have mobile telephones. However, they were very nice people. I didn't manage to meet Michael as I had expected, but apart from that, I really enjoyed  time I spent there. You should also try . Best wishes, Ursula. ",37.0
306," Dear Sir, I am writing with reference to an arrangement I made for your theatre show last week. I have to admit that it was not as I expected; First of all, the main reason I went to see ""Over the Rainbow"" was its actor, Danny Brook. It was very disappointing when I realised he wasn't in the scene. Beside this, I had to wait three quarters of  hour before the show started. During this time, I decided to have a drink in the restaurant but, as well as being closed, there was no nobody from the staff that could help me. I couldn't believe it! I would never have imagined this could happen in such a well-known theatre. Furthermore, you talk about discounts in your leaflets and they were no available, so, it was an expensive evening! I know you will understand my frustration and that's why I would like a total refund of my money or at least another ticket that goes with my wishes. I look forward to hearing from you soon. Yours faithfully,  [SEP]  Pat wasn't very good at keeping secrets. However, she was a close friend and I couldn't accuse her of nothing else. I won't never forget the day the doctor told me and my Mum the thruth of my strange disease. He just said there weren't resources to face it at that moment but... I bursted into teas as well as my Mother. It seemed the end of something lovely step by step. I got conscious of my problem and despite being a personal matter I decided to tell it to Pat. I still remember her words: ""Don't worry about anything. My lips are sealed"". I do really trusted her when three days after I went to school and I could appreciate I was catching the eyes of everybody. I couldn't stand being watched and my furious led me straight to Pat. She tried to apologise but it wasn't enough for me. My best friend had let me down. From that moment, I denied being with anyone until I met Cold, a sensitive dog, the one who would keep my secrets forever and would be near me until the end. Sure! ",29.0
975," 13.Jun. 2000 Dear Sir or Madam, I am very pleased to hear that I won the first prize in the competition. It would be great for me to go to the U.S.A as the prize and to stay for two weeks. Below is the information you requested  me. Firstly, I would like to travel in July because I have got a prior plan to teach the Korean children in Brighton about Korean and Korean history in the early August. Secondly, I would like to stay at log cabins which would have a good smell of nature in them. Also if I have to choose two of the activities, I would like to play tennis and to go surfing because playing tennis is my first choice and I am very good at it. And also the reason why I would like to go surfing is that I am always dreaming of surfing on the coast of California like on TV, but I have never tried to surf yet, which doen't mean I am bad at swimming. Finally, I would like you to let me know which clothes would be suitable for the weather at that time and how much money I should take. I look forward to hearing from you soon. Yours faithfully, Haneul Gay Kay.  [SEP]  When you spend money on goods and services, it gives you satisfaction and happiness but going shopping is not always enjoyable. There are a few reasons. Firstly, you cannot always get the right one although you scour about all the shops to find something you want. You may only get tired on your feet. And also you would have to thread your way between the shoppers because there are too many shoppers, especially, on the special occasion like on  sale. Secondly, you cannot exclude that you might get  a pick-pocket which would make you upset and irritated when you think of that you could avoid it and that you could take less money in your wallet from home. In addition to this, even if you buy something you would like, you can change your mind at home. Sometimes, a moment comes up that you would like to buy something you have not wanted because while you are shopping, you might get something beautiful or good to you. So you would spend more money  you have expected. To sum up, you should spend money as your plan and you should be cautious and sensible to make it enjoyable. ",30.0
1161," Dear Mrs Maria Smith: I am writting to give you the information that you asked me for. the group has been booked into the Harris hotel. this hotel is very good placed. From there you can get a taxi, catch the  buses seven and eleven, wich both have you very close to the conference place, and also you can go by underground to get there. the conference starts at 5:30 pm and it finishes at 8:00PM. Then, after the Conference, there will be a formal party at the group's hotel, wich starts at 9:00 PM and finishes at 12:00 AM. this party is a formal one, so you should  be casual dressed. In this area you could visit the central park. It is very beautiful and a very good place to relax. Another place that would be interesting to visit is the old cathedral of the city. I hope these information could be useful for you. Yours Sincerelly  [SEP]  Hampton Court Palace Introduction: I have been asked for information on an interesting building to visit. I went to Hampton Court last year, and I think it is a great place to visit. Location: Hampton Court palace is localizated in Hampton Court. In addition to that, I think this town is wonderful and it has a magical beauty. transport: to get to Hampton Court palace, you need to take a train from Waterloo train station. From there depart the trains to Hampton Court. Moreover, I think  by train is the best way to get there, because Hampton Court train station is very close to Hampton Court palace. Price: there is a great price for children, students, adults and families. They are between three and six pounds each. Conclusion: Hampton Court Palace is a building with lots of history and interesting things to see. And also it would be an excellent chance for this group of American students to see it. ",24.00
387," Dear Manager I'm writing to complain about  poor administrations of your theatre. Because the advertisement for  show and the real show were completely different. First of all, as you can see Starring was Danny Brook and Tina Truelove on your advertisement but when I sat  my seat,  different actor and actress appeared. I was very disappointed because I was longing for seeing them as a fan. Moreover, the show didn't start in time so I had been waiting for ages. In addition, when I entered into the theatre I couldn't have  discount in spite of   student and I couldn't use in your restaurant either after the show. In that time, it was closed because it had been being repaired. It's nonsense, wasn't it? Anyway, it was not ""My perfect Evening out"" but I think that it was a kind of ""contract infringement"" so I would like to ask for my money back. I look forward to hearing from you soon Yours faithfully  [SEP]  How has modern technology changed our daily life? Of course, our life will be completely changed. However, we have to consider about our nature and human-being. First of all, the developed technology and science will make our life more convenient than now. All your stuffs will be performed by the computers. For example, if you watch ""The Star Trek"" - science fiction programme on TV, you will realise that you just can say ""Do it"" and then the computers will do it. However, there are some problems. If all your staffs are fulfilled by the computers, we might be idler than now. Moreover, we have to consider about our nature. As you know, even now, science and technology are destroying our environment, for example weird temperature etc. If we don't protect our environment, our daily life will not be convenient. Rather our daily life will be deteriorated. To sum up, future civilization is important for us. If there is no our good nature, our daily life will be unhappy. ",27.0
43," Dear Jane Clark Hello! My name is Yuna Kimber who attended this annual International Arts Festival. I'd like to say something that I felt during the festival, and give my opinions that would be helpul for you to prepare for the next festival to you. First of all, I appreicate you for organizing such an exciting festival.  It was a great idea, and I enjoyed myself to this festival so much. By the way, according to the advertisement, lots of stars and artists from around the world were supposed to be invited for the festival, but I was able to meet them just from only six countries. And another thing is that some concert halls were too small, so when I went there for Jazz and rock concerts it was so crowded, and during the concerts people felt stuffy. I hope you'll get much bigger concerts hall next year. On the other hand,  plays and films were excellent. I expect that much more various kinds of plays and films will be on next year. Finally, I'd like to mention  reasonably-priced weekend ticket.  It was brillient, because if I had to pay  all things each I wouldn't have attended it, because it was very expensive for me.  Thank you very much about that. I hope it will be helpful and useful for you. Bye for now Faithfully yours  [SEP]  Long time ago, there were two brothers, whose parents were dead.  Their parents were rich, so when they passed away they left a lot of money. By the way, the elder brother, Nolbu was a so greedy man. He didn't want to share the money with his brother, Hungbu so he took all of the money, and said to Hungbu to go away from the house without anything. Hungbu had nothing but his twelve family. But, even if he was so poor, he was so good and had a lot of affection about the people who were much poorer than his family, so he looked after them. But, Nolbu always made people annoyed, and enjoyed other people's misfortune. One cold day, Hungbu saw a bird that had a broken wing, so the bird couldn't fly to the warmer county during the winter.  He cured the bird to fly with love, and the bird was able to fly. The following year, when the bird returned  his house, he gave him a message.  It was a kind of map that showed the place for a lot of money which robbers hid. Therefore, Hungbu became much richer than Nolbu, and he lived happily with the money helping the poor. People belive that the bird was sent by heaven. This story happened a long time ago. ",23.00
817," Dear Sir or Madam, I am delightful to receive your letter saying that I have won a two-week holiday in your recent competition and it will all  paid  in advance. I am writing this letter so as to give you the information which will help you organize all the necessary details of the forthcoming holiday. I would be grateful if you could arrange a date after the 20th of July, due to the problems beyond my control. Otherwise I will not be able to travel abroad. I would rather stay in one of the log cabins as I am allergic to many plants and insects and I should avoid contacting them. It is wonderful to hear that there is a good variety of activities available at the camp. As I am very interested in photography and swimming I am hoping to take part in them. I came second  last year's swimming competition and I have enrolled  photography classes. In the camp I can practise them alot. I was wondering if I need to bring some extra money and thick clothes with me in case there is an emergency. Could you please let me know as soon as you receive my letter. Yours faithfully  [SEP]  Dear Kim, I am terribly sorry not to drop you a line since the last time we wrote to one another. But I finally got around  writing and you'll see that it's definetly worth waiting  as I have some great and unbeliavable news to tell you. As you know I'm on half-term school holiday and have plenty of time to do much more different things apart from studying my A-level history, such as meeting up  my friends, visiting interesting places or even going to the cinema on my own. However this term has been a far cry from the others. You will see why I'm describing it as the most unforgettible one when you read through my letter. Couple of days ago I bumped into my best friend who is into music and we started to have a chat about what we had both been doing. She invited me to the rehearsal of a huge consert whose singer  was a well-known pop star as well as my favorite. Can you believe that I was introduced to him and I took numerous photographs some of which I put in the envelope. It was like a dream come true, and was the best part of the experience in my opinion. I helped out my friend by writing huge billboards and making some light refreshments. Despite the fact that I felt exhausted I must admit that it was one of the days I will never forget througout my  life write  me soon. Yours sincerely, ",35.0
532," Dear Mr Brown, I went to the Circle Theatre yesterday, to see the play ""Over The Rainbow"" and I must say that I got rather disappointed. First of all, the play was supposed to start at 7:30 P.M. but it actually started only at 8:15 P.M. so I had to wait forty-five minutes. Also, your advertisement sign says that discounts are available. What is quite not true because when I asked for it, the woman who sells the tickets replied with a resounding ""no"". When the play finally started, and the two actors entered the stage, I could see that the male one was not Danny Brook, differently from what the advertisement sign says, what really disappointed me since he was the only reason that I came to this play. But my complaints are not over yet. After the disappointing performance  the actor who replaced Danny Brook, I went to the theatre restaurant, and, also differing from the advertisement sign, it was closed. There was only a small sign stamped on the door, saying that it was ""closed for repairs"". So, unfortunately, I must say that last night was one of the worst nights I ever had, and  given the reasons, I expect   to count with your sense of responsability, so, I feel that I must ask for my 20 pounds  spent on that terrible night. yours faithful,  [SEP]  How has modern technology changed your daily life? As we all know, technology had a gigantic improvement over the last 20 years, and today, it affects us in many ways. First of all, we all became much more sedentary than in the past. Most of the modern jobs involves computers, so there is no physical effort, just mental, but, on the other hand, we improved communications with computers and  Internet, a kind of communication where there is no need to meet personally, to see the other person, just the need to talk. Also, with today's machines, factories have significantly increased their production, what brings progress to humanity, but also, with the continous replacement of men by machines, the unemployment is increasing too, and today, it worries every single citizen of the world, specially the ones who lives in third world country. So, men have invented machines to help him on his tasks, but nowadays, we our becoming slaves of them. The most important thing in the future will be knowing how to deal with machines, so, today's children must be introduced to computers since an early age, so that they could have a chance to compete with the furious emearrence in the future. ",30.0
699," Dear Mr Ryan I have just received your letter and I am really delighted and thrilled to win the first prize in your competition. For the trip to California, I can only go in July, I am afraid, because my English course finishes in June and it starts again in August. In your letter you mentioned that I could choose between sleeping in tents or  log cabin, and I would like to sleep in a log cabin please. Because last time I was in a tent, I found it really uncomfortable and when it rained in the night I couldn't got to sleep because of the sound of water hitting the tent. I would like to take part in surfing and swimming please. Although I have never done surfing before, I am a quite advanced swimmer. Finally I would like to ask some questions. What is the weather like over there and what should I wear? How much money would I need? How big is the camp? I look forward to hearing from you soon. Yours sincerly  [SEP]  Shopping can be very exciting and fun. The feeling of buying new things is wonderful. But it might not be the same everytime. We all go shopping, maybe not every day, but certainly at least once a week. Shopping is very important because it's the only way to get things. For example, food. You will not be able to survive without food. So buying things neccessary is fine I think. But buying things that  do not need or you have not planned to might make you feel good at the time, but days or weeks later when you realise you did not need to spend money on them, you might regret buying them. For example you did not plan to buy any crisps, but they are at half price and you buy them without thinking. But after you never eat them and just bin them. I think buying things needed and planned could be enjoyable but buying things you don't need or unplanned, might make you feel sad after sometime. ",37.0
21," Dear Ms Clark, I write you this letter because I want to tell you  my experiences of the festival. I have spent two days at the ""International Arts Festival"" and I have to say that it was a good event but I think some details could be better the next time. For example, on the leaflet it was written that there will be stars and artists from around the world but they were only from six different countries. That was disappointing! Some concert halls were really small so that there was bad air and not enough place for everyone and you could not enjoy anything! What about plays and films? It was a small offer; I hope it will be larger the next time. But do not worry! There have also taken place very good attractions like  dance shows, the art exhibition and listening to  talks  by writers, The reasonably-priced weekend ticket was a very good idea. This was a clever way to attract people's attention At last, I would like suggest a ""pony-ride"" for children, to attract families. Please tell my your opinion about this. Best regards  [SEP]  I think there are some possibilities for earning money. I would say the simplest way is to give lessons to pupils, for example,  maths or english. There are also some schools which offer such a job. To teach pupils is not easy, of course. But I think that after some lessons the pupils will see that it is better if they sit down and learn their stuff. So it would be easier for the teacher ! It is also not a dirty work, I mean you do not have to clean rooms or toilets of other people! And you do not need to carry heavy things or have stress with customers if you are working in a shop. To be a good teacher you especially need patient and good nerves! Not everybody has the ability to understand everything at once. And the money you get is not less So, if you like to b with people and help them and if you have  talent to explain  good then it would be the best, if you offer your help to the people! ",25.00
118," Dear Sir, I would like to show you how disappointed I am about the musical show you manage. As I had a whole week holiday I decided to spend it in London. At first I though I would just make a bit of sight-seeking all around the city. But when one night I saw your advertisement I decided to spend my last night in the city watching a musical show. No sooner had I seen  the starring actor  than I couldn't believe it. Danny Brook was one of my best friends while I was at University. But as the show began, I realised that the actor was someone different, his name was Tim Paradise. If this had been my only disappointment nothing would have happened, but I had to wait stil quarter past eight in order to watch the show, instead of  beggining at half past seven as you had written in your advertisement. Although I found the tickets's prize too much expensive I though that there would be some discounts available, but there were not. As a conclution of that horrible evening I decided to visit your theatre restaurant once the show had finished, but what a surprise when I found it closed. For all of these reasons I have to ask you for having  my money back. Sincerely: a disappointed user!  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. All began when I decided to take part in that school project. It consisted in having to memorisize a whole book of 250 pages in order to pass a final exam. Although this project could seem a very though work, I had to try it in order to rise my low global mark. One day as I was talking with my teacher about the project I saw what it could be the final answer sheet  exam on the top of his desk. Suddenly, when the teacher went out of his office, I quickly copied the answers on my notebook, I couldn't believe it, that would be the easiest exam I would had ever done. As I went out of the office I found walking down the corridor Pat, my best friend. As she was also making the project I decided to let her copy the answers. I told her she hadn't to talk about that to anybody. She agreed and went home very happy. When night came I couldn't believe what was happening. Almost all my class mates were in the front door of my house asking me if I had the solutions of the exam. I couldn't believe that my best friend had told everybody about my secret. In the exam day everybody anwered correctly to each question. And after having corrected all of them, our teacher told us we had to repeat the exam because he realised we knew what the answers were. It was the last time I trusted in Pat. ",30.0
