,essays,labels
331," Dear Sir or Madam, I'm writing in order to complain about your current musical show which I saw last week. It didn't go on as I had expected and I was really let down when it finished. Firstly, it was  to start at 19:30 a I bought my ticket for the evening session. However, it began at 20:15. I would have understood a little bit of waiting time, but everybody agreed that this was too long. Second, instead of being starred by Danny Brook, the musical was starred by another actor, who I found really disappointing. Although he sung quite well he danced terribly and that spoiled part of the show. I asked for the discounts available as we were a group of 15 people, but the answer I was given was that nobody had ever heard of them. In addition, we had planned to have dinner at the theatre restaurant but it was closed as it closes every Thursday. I think that there's no point in having a restaurant which closes the day of main audience . Finally, I just want to say that the perfect evening that the advertisement said and that we all wished turned out to be a regret for the wasted money. That's why I'd like to ask if you could give me some money back. I'm including my ticket and this list of complaints as the reason for returning some money. I'm looking forward to receiving your decision. Yours Faithfully,  [SEP]  My daily life has changed quite a lot with modern technology. I live more comfortably and  even more carefree than some years ago. I've been able to improve some things that could have annoyed me some time ago, and although they're mainly little changes they make me notice that my life is easier. At home, for example, my waking up is no more a surrounding sound that breaks the silence and peace of my dreams, it is now the good-morning of my favourite radio program, set to start at seven o'clock. Then, when I was younger I would have to put the milk on the fire and wait until it was warm enough to drink. Nowadays, almost everybody have a microwaves oven, where you put your milk  less than two minuts and it is ready to delight your mouth. Another thing are the fifty-two steps which take me to the street. They have become as easy as calling the lift, without  feeling tired or even breathless, when I was in a hurry. Thanks to my mobile phone I can go out until later at night, as my parents can know where I am whenever they want. Also, with the development of  Internet and its arriving to a great number of homes, I can have any information I need at any time I want. In brief, my life is taking the most out of the discoveries in science and technology and it can't be hidden that I'm really glad of that. ",33
112," Dear Sir, I'm writting this letter to complain about your fake advertisement. You are the theatre's manager so I suppose you are the right person to complain . First of all in your show advertisement  sais that Danny Brooks starts in the play. But a different actor has started and that was very disappointing not only for me but for all  people there. The show has begun later, much more later than your advertisement writes, at about 20:15. The show started 45 minutes later. This made me get bored. You also refer to your advertisement that there are some discounts available but there weren't any. At the end you have written that there is the theatre restaurant  after the show but there wasn't. It had closed because of the late start of the show. At the end because I; hadn't have a perfect evening but a very disappointing one, I have the right to ask  my money back.   [SEP]  Modern technology changed not only my daily life but also the life of many people. Now let's talk about me. First of all I don't have to worry n the morning  if I miss the bus because I have my alarm clock to wake me in time. Usually When I return from school the food is a lit of bit cold so I put it in the microwave to become  hotter. When I go to sleep after I eat my lunch in my country especially in summer  is too hot. So I turn on the aircondition with  timer so when I get  sleep  to turn off by itself. When I wake up if I don't have homework I sit on my computer and play different games to spend my time. At the evenings before I got to bed I sit in the living room and watch TV through the sattelite. When I go to bed because there are many mosquitoss I turn on a special machine with  pile like thing in it which kills them. I belive that modern technology has effected possitive our lives. ",23
706," Dear Sir or Madam, I am writing to reply  your letter in which you let me know I had won the first prize in your competition. I would like to travel in July as it is the only month in this year when I do not have any exams. I am currently attending University and I have exams all term long. For accommodation I would prefer a tent, as I love nature and I like going camping a lot. About the two activities I have to choose I will take surfing and basketball. I know very little about surfing, it is almost something new for me. I have only practised it once. But, on the other side, I am a good basketball player, and I practise it three or four times a week as I play in the University team. There are some things I would like to know first of all, the kind of clothes I should take with me. Then, if I need to take any money to the camp. And finally, if you could tell  when would I be leaving and coming back. Yours sincerly  [SEP]  Dear Kim, Hi! How are you? How are you doing at school? I have a terrible cold but I feel OK anyway. I got it two weeks ago in a concert, but although I've been to the doctor, I can't get over it yet! Well, but I don't regret going to that concert. It was wonderful! You know I love designing clothes, and there I had the chance to make a dream come true. A friend of mine was organising a pop concert, and as he knew me well, he asked me if I'd like to design the clothes the pop singers would wear in the show. Of course, I accepted immediately very pleased. It was a marvellous experience, I really enjoyed working with such a nice team, they were really kind with me. And, as if it wasn't enough,  doing what I love! It's something I will never forget. And tell me, are you planning coming back to visit me? Please let me know if you have some days free so as to organise a little journey together. Well, I think I'd better close now. Write back soon! love, ",31
386," Dear Sir, A few days ago, as I was having a week's holiday in London, I read your advertisement which convinced me to go to see your show: Over The Rainbow. I must tell you that this show was the worst one I had ever been to. First of all, I was very disappointed by the fact that the actors who played were not the ones who were supposed to do it! I was all the more angry as the show started at 20:15 instead of 19:30 as it was written in your ad! Another problem: there was no discount available! Finally, at the end of this very disappointing evening, I decided to go to the theatre restaurant - which was also mentioned in your ad - but I was told that this latter was closed because of a private party! To put it in a nutshell, contrary to what was explained in the advertisement, it was not my perfect evening out and that is why I would like to get my money back. I look forwards to hearing from you  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. When you told her something important, she could not help telling it to someone else so as not to be the only one to know it. Actually, even though she was seventeen, she still behaved like a ten year old child and it was very difficult for her to know that she could not do or tell something - like a secret for example. Thus when Sally explained  her that she had fallen in love with Kevin, Pat felt very embarassed. In fact, she knew that even if Sally was her best friend, she would not be able to keep such a secret. It might seem a bit strange but if Pat had been able to choose whether she wanted to know a secret or not, she would have prefered not to know it. Pat was totally upset. She felt all the more ill at ease as Sally trusted her. Thus when Sally asked her not to reveal the secret, Pat ran away, when home,  locked herself in her bedroom. But when she saw the phone that she used in order to call her friends, she started to cry since she knew that she would use it. ",34
145," 17-6-00. Mr. Smith, I write to you because last night, (Saturday 10), I went to see the musical show that you are presenting at the Circle theatre. I am a great fan of Danny Brook and went to see him in his new show, but, to my surprise, it wasn't him who played that night but another horrible young actor. I went with my daughter, a university student, and she was supposed to have a discount on the ticket. We asked for it and we were told that there was not discount neither for her not for anyone else, so I had to pay the full price of the two tickets. Furthermore, it was announced to start at 19.30 p.m. and it started at 20.15 p.m. for reasons anyone would explain to the audience. After the play, we went to the theatre's restaurant and we found out that it was closed since 1999's spring! How can you ask the people to go to a closed restaurant? In conclusion, I would be very grateful if you could send me my money back because, as you have seen, I didn't spend the ""perfect evening"" you announce. Yours sincerely,  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. Although he had promised Lise that he wouldn't say a word, when he reached the school he told the secret to Ann. Of course, Ann promised not to tell anyone, but by the lunch-break all the school knew that Lise had stolen the literature exams. Very soon, Lise understood that it was useless to continue pretending that she knew nothing about it, and decided to make a deal with her class mates. She would give them the exam's questions and they would make all her homeworks during 3 weeks. There was no escape. It was an unfair deal, but if they wanted the questions they had to accept, and if they accepted, they couldn't tell anything to the teachers, because, in fact, they were as guilty as Lise. Unfortunately, the perfect plan doesn't exist, and a teacher heard two students talking in the bathroom. The teachers started investigating and asking all the students, but it was a secret and they couldn't say a word. Finally, the teachers asked Lise and her friends. No-one said a word. Unfortunately, Pat wasn't very good at keeping secrets. ",34
18," Dear Mrs Clark, I am writing to you because, as one of the visitors of the International Arts Festival which took place two weeks ago in our city, I would like to let you know some of my opinions - and suggestions, as well - related with what I saw in the festival and what I could not see, but I would have liked to find. First of all, I must congratulate the people responsible of this good idea. It is known of all the lack of art festivals and cultural activities in general that shows our city. And what a belter thing to solve this than to give the festival an international character. But including only six countries in the festival does not seem enough, in my opinion. I think next year you should invite more different countries, because the festival would be more multicultural. Secondly, there were some problems of accommodation in the classical concerts because some concert halls were too small. Another important thing is that, despite the number and quality of films, there were, from my point of view, not many plays. In addition, I would like to talk about the success among most visitors of the weekend ticket, due to its economical price and because of its comodity in use. Finally, I would like to suggest that, in next year's festival, you include different kinds of music, as ska or ethnical music. Yours faithfully,  [SEP]  Who doesn't want to earn some money? The topic says that young people have a lot of problems, but without any doubt, money is one of the most important of them. If you still don't have economical freedom from your parents and your studies don't permit you to have a full-time job, these are some suggestions that maybe will help you. One possible thing is to display in a public place what you can do best, and, then, ""sell"" it to the people. For example, you can   dance folk be Hamlet in the street, or even sing with some of your friends a nice song from you country. You must be aware, anyway, of the difficulty of this kind of things (bad weather, no attention from the people and so on) But maybe you are too shy to do this. In this case, you can cook some cakes and sell them near a school or in the centre of the city, as well as other traditional products: cheese, honey ,chocolate... Another thing that can be useful is to make some pottery or do original paintings and sculptures. You don't need to be a Picasso, it's enough with a bit of imagination. If you don't feel like doing any thing of this, you have alternative solutions. If you like fishing, you can try to colaborate with the local market or some shops, in order to sell them the fish you can achieve by yourself. Finally, if anything of the above  result, you can prepare the classical parties in discos or work as a babysitter It doesn't matter how, the aim is always money. ",30
676," Dear Helen Ryan I am shocked that I won first prize in this competition. It will be a great adventure to visit Camp California. I am writing to inform you that I would like to travel in July. The reason is that I am a full-time student on Cracow University and I have many exams at the end of  semester, which is in June. I hope that it is not a problem. I would like you to know that I prefer a tent. I think it is much better than a log cabin. Aspecially in the summer when  tempereture and humidity are very high. From the list of all  activities I have choosen photography and golf. Since secondary school I am very interested in taking pictures and I have a big experience in it. I have choosen golf because I have never played in this game. Please, send me any information of what should I take with me. Should I bring my camera, warm clothes or any pocket money? I am waiting for your reply. Yours sincerely Rafael Szymanski  [SEP]  Dear Kim Thank you for your latest letter. It was really very nice. I know that you're waiting for any information about a concert. Here it comes... My friend offered me a job as a member of  techical staff on Sting's concert. I love his music and I collect his albums so I was very happy that I helped his crew. Our job was to prepare the scene. We've built it using ready metal and wodden parts. It was really big and impressive. Then we had to plug  all electric instruments, speakers, lights and microphones. I was working with a specialist who had to connect all  lights together to one computer and prepare a colorful show. It was a totally new experience for me and a real pleasure of working with professionalists. It was a hard and complicated job but we all had a lot of satisfaction during the concert. Even Mr. Sting came to us to thank  for our help. I hope that you liked my story. Send me your opinion about that. I wish to see your letter soon Rafael ",31
1027," 12th December 2000 Dear Mr. Robertson, I would like to thank you for organising a nice programme for us. Especially, going to the Museum and the Art Gallery would be a great oppotunity for all of us, as they are world-famous places in London. However, there is something I need to ask you. Everyone in the class wishes to go to the London fashion and leisure show which will be held on Tuesday 14th March from 10 a.m. to 7 p.m. In the show, we will be able to see the latest fashion, leisure and sports wear, make up and hairstyles. It would be essential because many people in the class are thinking of studying fashion in future. The entrance fee is free for students so the show is well worth seeing. To go to the show, we need to alter the programme. The show is on 14th and takes a whole day. So, if we could go to the Museum by using the free time on 15th it would be okay although we could not go shopping. I look forward to hearing from you shortly. Yours sincerely,  [SEP]  Story It was dangerous, but I knew I had to do it. Three years ago, when I was in Japan, my parents were both working and neither of them were at home by the time I get back from the school. I always had my own key and unlock the door by myself. It was a horrible day, the day I had left my key at home! There was nobody to let me in, noway to contact with my parents. What I decided to do was getting into the house by climbing up the roof because I knew one of the windows was unlocked. First, I climbed the tree in the garden. It was okay, beause I was quite good at that, but the problem was that I had to jump onto the roof! It had been raining, the previous day, so the roof was slippy! I managed to do that although I cut my knee! I walked on the roof carefully,  not to slip. I was extremely happy when I got into the house. It was a scary, but thrilling and exciting incident! ",38
927," Dear Mrs. Ryan Before answering your letter (which I have just recieved) about the prize of the competition I recently won, I'd like to tell you thank you very much for giving me the chance of gong to the USA. It is just a dream come true! I have been asked to say when I would like travel. There's only one month for that: July (as I am working all the year round and I am not available to leave my job). About the accomodation; I rekon I would prefer to be in a log cabin instead of a tent, since it is more comfortable. During my two week sat Camp California, I'd like to practice climbing and surfing, whose  basics I know perfectly well. I am quite good at both because I do usually practice them. Furthermore, I love to go through such sports! In addition to this, I would like to know the ammount of money I should bring, as well as the kind of clothes that i could need and the sort of people that I will find there. Don't hesitate to contact me if there's any problem, and thank you very much again. Yours sincerely, Bola  [SEP]  Hi Kim! How are you? It has been so long since I wrote to you for last time... Hey, guess what: I gave a hand to a friend at a pop concert! It was great, and I got my entrance for free! It happened by chance: I was walking down the street when I bumped into Jane, my old friend, who asked me if I wanted to join her and a couple of mates to help at the concert. I agreed unwillingly, as I couldn't imagine how a pop concert looked like... but when I came in I changed my mind! None of the groups were known nowadays, but I belive they are well on their way to becoming famous bands. My tasks were serving drinks and some other stuff, and stay there after the concert to clean everything. This was the best part because when everyone was gone, Billy Joel arrived to give his support to the beginers!!! What was a fella like that doing in such a place? I couldn't belive my very eyes... Jane took a photograph of us toghether. I'll send you a copy as soon as I can. Lots of Kisses from Bola xxx ",33
29," Dear Ms J. Clark, I am writing to you to thank  for  so good organisation of  International Arts Festival, where I'd spent two exellent days recently. I would like to inform you whed the idea was great and I hope that so needful for people events would become a good tradition in our country. I think that providing such festivals could help people to be in the centre of cultural life of the world and to have enough information about the new art styles But I hope that next year visitores of  festival would be able to introduce with more art groups from all over the world. I suggest it would be very intresting to meet artists from far and exotic countries. Also, if I were you I would make your concert halls a bit larger, because of too many people would like to spend their holidays with their families on your festival next year Event this year some halls, which I had visited were overcrowded and there were some problems with ventilation during some shows Finishing my letter, I hope what my notes could help you to make next-year festival more intersting and comfortable for  public Yours sincerely,  [SEP]  Want to be independent? Earn   yourself. Everybody knows that common students are not the richest persons in the world. But then you are at the university you need money more, then anybody else want. It is so because you are young and need to make your life as intrestng as it can be now. All that discos, concerts,  touristic trips have to be paid  by a different sum of those small coloured pieces of paper, called money Of course, the easiest way to have them is to ask your parents for help, but a great number of young persons want to be independent. So thy need to get a job  that is very difficult when you haven't  any special education and experience yet. Most common way to earn  is baby-sitting. Many young people earn their pocket money so, helping neighbouring parents to have a bit more spare time. Other students work as house or office managers, make promontion of different goods or even  as a bouncer. Naturally, it's easier to get a job then you were good in foreign languagers or computers. When you can find yourself  as a tourist guide or as a secretary. Sometimes small groups of students organized their own small business. For example, they can design furniture or clothes, make web-sites and so on. In two words, if the young man want to earn a bit of money by his own hands, the luck and success will find him ",26
923," Dear Ms. Ryan I refer to your letter regarding the prize I have won in your competition. I was really pleased to find out that I have an opportunity to spend two weeks at Camp California in the U.S.A. As requested in your letter please find below some additional information about me and my plans. I would like to travel in June as I have already arranged for a part time job later this summer. I prefer to stay in a tent as I go campping every summer and am used to slipping in tents. From the list of activities, which was provided by you, I'd like to choose photography and swimming. I'm very good at swimming as I have been a member of different swimming clubs since I was 6 and I chose photograthy because I have a new camera and want somebody to teach me how to use it. At the end I would like to ask you to let me know how much money & what kind of clothes I have to take with me. I am looking forward to hearing from you soon. Yours sincerely  [SEP]  Report Subject: Video about daily life at our school. Introduction: To support an idea to make a short video about daily life at our school I have spend some time discussing it with other students,  observing and analaising an avrege day in our scholl and came up with some suggestions. Places to video: We should try to video not only class rooms but also our playground, cafe, sport hall, art club & library. Most students spend a lot of their time in such places and they are  very important part of our school life. Activities to video: We should show students during their formal studies as well as after lessons. I think it is a good idea to include a record of one of our big events such as  anual sport turnament or wellcoming evening for new students. Conclugen: To sum up the above I'd like to suggest not to film anything longer than 1 or 2 minuts and have a nice mixture of places, faces and events. If you have any further comments or questions regarding this case please let me know. King Regards ",28
877," Dear Miss Ryan, I am very glad to hear that I have won the prize and thank you very much about that. Here is the information you want, I hope they are useful. First of all, July is the only month I can travel, because I have got exams at school and I won't finish them until the last day of June. And in August, I have to go back to school to do some classes work and I have got a camp to organise. So I would like to travel on July. Secondly, I would prefer the accommodation  in tents. Since I haven't been camping in tents so I would like to take this chance to feel and experience what will it be. About the activities, I chose swimming and climbing. I am in  swimming term a school and I won a prize last month. Although I'm not good at climbing, I want to experienced  myself. I would like to ask what is the weather in  USA like and what kind of clothes should I wear? And I was wondering how much money do I have to take? Also, if I can join climbing, what do I have to bring? At last thank you very much for answering my questions. Yours sincerely,  [SEP]  Dear Kim, It was lovely to hear that you want to hear about my experience. I helped  the concert which was my favour singer's concert. I helped with the piano part in that concert. At the concert, I had to play 4 songs and I had never played in a concert before, so I felt very nervous before the concert. But it was a good experience for me because I learnt how to claim down and play well in front of the audience  the concert. And also I have never played the piano with the singers before, and after that it makes me more confident and improved my skills a lot. When the concert finished my favour singer talked to me & they invited me to play the piano in their next concert and they said that because I performed will in that concert. They taught me a lot about playing piano as well. At last thank you for sharing my experience. I am looking forward to hearing from you. Best wishes Yours sincerely, ",27
661," Dear Madam I'm very happy to have won in your competition. I'm never going in the U.S.A than I'm very exciting to travel at Camp California. I can to come only  July because I have to work the other months of Summer. As accomodation I'd prefer to sleep in  tents becaose I like beeing outside and earing the noises of the sea. My two  activities's choices are Climbing and Surfing. I used to climb and I want to try  still because climbing is good for the fit. I want to do surfing too because I like snowboarding and I think surfing make similar sensations, but I have never practised that sport. I have one question to ask you. I have a little brother and I want to know if I could take it with me. He doesn't like stay alone at home. Yours faithfully Anton Chevalier  [SEP]  I purpose that we should be filmed five topics: A math lesson, an english lesson, a swimingpool lesson, the break and the staff room. - At the math lesson and the English lesson we could show how the teacher learn at his students. We could be filmed the class room too. - In the swimingpool we could been in the water and doing a party of water-polo and then Allan could done acrobatics stands, because he make competitions. - During the break we could show the activities of the students. for exemple students who play football or volleyball. We could asked some students about the school. - Before the end we could visit the staff room. We could known how this room is and what the Teachers do in this misterious room. In the end we could show a comment of each student of our class. Anton Chevalier ",20
1079," Dear Mr Robertson, Thank you for the exellent programme you organised for our class. We especially look for make the River trip to Greenwich. However we have send an advertisement for the ""London Fashion and Leisure Show"", which will take place on the Tuesday 14th March from 10.00 am to 19.00 pm during our trip in London and in which the follow topics will be showed: . Latest fashion . Leisure and sports wear . Make up . Hairstyles We would like to inform you that we  all extremly interested in this show and that it could be a great opportunity for us because the entrance is free for the studends. We would like to request if we could go to this show on the 15th March instide off  the visit in the Science Museum. We could make this one on the Wednesday 15th March afternoon. Thank you in advanced for your comprehention and we look forward to hearing for you. Yours Sincerely,   [SEP]  The private life of famous people! Who have never dreamed  to be a famous singer, sportman, actor or a politician? The success of these people is so big that they are known all over the World. I think that this kind of people have a poor life because they never can be quiet because all the poeple know them and want to know a lot of things about them. They have always to be careful about what they say and what they do. In my opinion I think that if famous people is always followed by journalists it is not the responsability of the media but of the huge quantity of people who are interested in famous people life. Firstly, because it is a lot of ""scandale magazine readers"". Secondly,  because they have  admiration for them and lastly because they want dreams and see what a ""star life"" look like. In conclusion I think that people who are to much interested in other people life have not an interesting life and are unhappy!  ",27
302," Dear The Manager of the Circle Theatre, I went to the Circle Theatre to see the show, ""OVER THE RAINBOW"" a few days ago. I am writing this letter to tell you how I felt disappointed with it. There are some differences between the advertisement and the real show. With the advertisement, you mentioned Mr. Danny Brook and Ms. Tina Truelove were going to play but actually different people were playing, whom I have never seen before. And also it said it was going to start at 19:30 but it was not started until 20:15. To make it worse, neither discounts or restraurants were available at that night although they were said to be available. According to the owener of the restaurant, it was closed because the plugs of some lights were cut off. As I am writing, it was not a perfect evening at all but horrible, so I would like to ask for  money back and compensate for my special 20th birthday. I am waiting for your reply as soon as possible.  Faithfully yours,  [SEP]  Fashion Of the Future There have been already a variety of fashion style nowadays. Some are in formal others are in casual. Especially in big cities such as London, New York and Tokyo, you can see a lot of people in various clothes, so I do not think there will be such big differences in  outlooking of clothes even 100 years from now. However, I think, there will be some diffences in  quality and materials of clothes. For example, speaking of sports, a lot of remarkable progress has been made in especially swimming costumes and athletes' costumes for  Olympic. In addition, I think the earth will be warmer and warmer than now and 100 year from now will be an Area of Space. So clothes for space will be necessary and clothes for warmer climates will be necessary. In conclusion, 100 years from now, I think,  better quality in clothes will be created in every field, such as sports, office, leisure, building site, school and space. although  outlooking such as, shape and color will not be changed so much in fashion. ",29
435," Dear Sir or Madam, Unfortunatelly I have to complained about  musical show  in your's Circle Theatre last evening. When I become your's advertisment concerning the show ""Over the Rainbow"" I thought that I'll have a great evening, but unfortunatelly it was a big disappointment for me. Maybe I start for the beginning. First of all, Danny Brook - the main actor in this musical - was abbsend. The show had a 45 minutes delay - what a shame! You also offered discounts, whot kind of discounts? I haven't seen any! I was with my son (11 years old) and I had to paid a full-prize for his ticket. Becouse the show was very long, we were getting hungry but of course your's theatre restaurants was closed because of  holiday. Hereby I have to ask for  money back or another discounts for me. Waiting for you replay. With best regards  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. The stay has begaun last year, when I stated my summer holiday. I had not any money for travelling but my parents were able to give me them if I only had a concret plans. I started talking with my parents that I will be travelling with my friends through West-Europe for one month. I had really a good plan but any good friends. I become quite a lot of money and I left home. During one week I was really travelling with my friends but then I was getting boring with them and I started to travel alone. Now I don't think that it was a good idea. Sometimes I had to sleep on a railway-stations or under a bridges. After one mounth I came home back and explained my parents how a lot of fun had I with my friends - I don't know why I was such a lair. My parents belived my word's untill my younger brother Pat told them the true. Now my parents' don't belive my words. But I think, this was a good lesson for me and I  lair any more. ",23
695," Dear Sir/Madam, I am very glad to hear that I have won the first prize from you. I appreciate all about this. I am writing to you about my information which you need. Firstly, I am afraid that I am just available to travel only in July because it is difficult to get my own holiday from my work a the moment. I prefer staying in tents to log cabins because I have really been interested in making tents and staying  there. Finally, if I have any chance to choose activities, I will choose Basket ball and Sailing with no doubt because I would love to make friends from these kinds of sports. Both could be exciting for me. I would like to know more about clothes and money. I have got not idea about them. I would be grateful if you could send me some information of them. I am looking forward to hearing from you in the near future. Yours faithfully, KANG OFF WOO  [SEP]  Dear Kim, I am happy to write a letter to you. What I really want to say is about my recent experience. Last month, I helped at a pop concert by chance. I have just  as a normal worker but I have met so many famous singers who I ever seen on TV. Of course, I could listen to all their music which were so cool. After the concert I had got an opportunity to join them to the party. The best thing was that I have learned how to control their expensive instruments and I have sung my favorite songs with them. Especially, Mike who is a member of Metal Potato told me I had got a talent  to play the electric guitar. It is impossible to explain all my experience without this word, ""Brilliant!!!"". I would like to invite you to their next concert and share my experience with you. Please let me know if you want to come as soon as possible. Best wishes, KANG OFF WOO ",32
616," Dear Mr. Ryan: I am writing in connection with the information requested, concerning the two-week trip I have won in the competition. Firstly, I was asked the time my trip would be and I have come to a conclusion that the only time I will be able to go is in July because during this very month I have my winter break both from work and school and that is when I will be free to go. About accomodation in tents or log cabins, I would enjoy much more being in  tents as I believe  is the right type of accomodation for going camping? Another point mentioned was the choice of activities. I would like to try sailing as I have never sailed before and also climbing as I enjoy hiking a lot. I actually have much resistance and balance so that will help me in both activities. Now, I would like to request some information about clothes and money. What type of clothes and how much money should I take with me? I look forward to receiving your reply and hope the information above will helpful towards the preparation for the weeks in subject. Yours sincerely Gabriela Matos  [SEP]  Right size, right colour Men tease women as being shop-cravers and for having shopping as the nicest passtime. However that impression is not always true. Everyone enjoys wearing nice new clothes, however do we really like the process of chosing them? At times, it is not only the matter of having to make a choice but the trouble of finding something, which can kill a lot of time and specially when your  doesn't fit with the in fashion. The colour along with the style and size, blue or red, long or short, medium or large. What is more, we can say that price is often very off-putting as well. Most people usually go shopping for something which is affordable, and many times they find, for example, a dress, they like a lot but they cannot buy it because it is terribly expensive. Then, I consider  a pain having to go around some more still thinking of that same dress. Finally, you always talk yourself into some piece of clothing but that ended up being a tiring day of going in and out of fitting rooms and figuring out discounts. etc. Is that enjoyable? ",35
1243," Dear Mrs Smith, I am writing to inform you that I have recieved a letter from you about helping you to organise an international student conference in my college. Your group has been booked into the Palace Hotel which is not very far from my college. However, due to the congestions and delay near the hotel, the best way to get from there to the conference is by  underground,  Victoria Street station. You would arrive at the other station opposite my college in approximately 15 minutes. At the end-of-conference party, you may either leave the party or stay in the college for more activities. All different types of clothing could be worn however jean wears and T-shirts would be common on that day. Instead  staying in the hotel for the last three hours, I suggest that you could perhaps visit our town centre. The popular attractions in our town, including the art gallery, museum, aquarium,  market square, could be found near our monument of our town, the Saltisy Bridge. I am looking forward to see you soon. Yours sincerely,  [SEP]  The Little Woods shopping mall Location The Little Woods shopping mall is an idea place for you and your group to visit. It is located very close to the town centre next to the town museum. It can be accessed by the nearby train station. Facilities For those students who are very interested in shopping, clothes shops, jewellery, stationary, book shops, fashion and beauty departments and many more are availiable. For those who want something more exciting and advanturous, you are recommanded to visit the Fun Fair and amusement  on the top floor of the building. Other facilities such as cinemas, theatres,  large department stores could also be found . There is a little souvenir shop for tourists and a special discount for tourists from aboard  to enter the car park. Conclusion Not only the tourist information centre would provide the information you might need, you could also visit the ICT block which allows you to access onto anything you want to know from the computers. A special trip could also be organized. ",30
36," Dear Ms Clark, I think  International Arts Festival is a great idea. I spent two nice days watching its events. I was there with my boyfriend. We have similar interests but we have different opinions. For me -  dances shows were absolutelly wonderful. I like dancing and I like watching dances shows.  Dancers worn nice clothes,  the music was very good. Unfortunately there were no Spanish dancers. I prefere them to others. Maybe next year? You should invite artists from more countries. We also listened to the concerts but in our opinion the concert halls were too small. During the jazz and rock concerts the audience wants to play and dance so it needs more room. I like listening to the classical music in the big halls, too. My boyfriend was exciting about the art exhibitions and listening to the writers. He was happy because he was able to talk to them in person. We had no time to watch all  plays and films. We chose some of them and we were glad that we had our reasonably  ticket for all  evants because we could change our planes during the evant. I suggest to organize  next IAF in the summer. We are both students so we have our holiday from July to September. We have more free time in the summer. We're going to attend  IAF any time, as well. Thank you for an unusual event Yours sincerely  [SEP]  Dear Monte, I'd like to write about rules in Poland. They're horrible. There are many things we aren't allowed to do at school. At first - we have to be at time. Our lessons start at 8 a.m and we aren't allowed to be late. We have to change our shoes. Fortunately we don't have to wear the school uniforms. We can wear what we want. Most of studenst wear jeans and  sweaters. We have to be quiet during the lessons and our lessons are boring because of it. Our school-bags are very heavy because we have to carry our books, notebooks, atlases and dictionaries all day. It is what I'd like to change. I'd like to leave my books at school. At home we have to do our homework. There's always much to do so we have no free time at all. Our parents want us to be clever. When we have good marks at school they let us to go out (to the disco or cinema, but only on Saturdays and we have to be back by ten). On Sundays we have to go to bed early because on Monday our school starts at 8 in the morning. We sometimes help in the house but it isn't neccessary. We aren't allowed to smoke and drink any alcohol. We aren't allowed to argue with our parents and teachers It is also horrible. We musn't talk to them but  only listen to them. I'd like to change it. Student's life is hard but sometimes funny. Love ",30
618," Dear Ms Ryan I'm very much surprised to receive your letter announcing the  first prize in your competition and I'm looking forward to spend the two weeks at Camp California. Just because I'm studying at the moment and I won't have my holidays till July. This is the month that best suits me. The second week of July would be perfect to start my trip. I would rather sleep in a log cabin. I find it will be much more comfortable than a tent. The leisure activities sound fantastic especially climbing and photography. I'm very keen on climbing. I've joined a climbing group in my town  2 years  and  reached the top of several middle-high mountains. The other activity I would like to try is photography. I have no previous experience on it but I wish I'd learn a lot. However, there are some questions that I want to ask you about. Do I need  passport to travel? What kind of clothes would be appropriate, winter or summer? Are there any food service at the camp? I hope to hear from you soon. Yours sincerely  [SEP]  This is a report to plan and suggest ideas for the daily life video at school. The activities suggested are write below. The opening time recording the students while they meet outside the school and come in could be a good begining. It would reflect the atmosphere when they meet early in the morning. Filming lessons such as grammar lessons and speaking either theory lessons or practice would give a general idea about a day at school and how students work on their lessons. Why don't  include some sports, for example, voleyball? The team has been training very hard during  last weeks. And they'll certainly feel very proud of being at the video. The musical lessons and the singing club in the afternoon are very popular among the students of all courses. Practically the whole school would appear on the video. I think that if we mix lessons with sport activities the combination will give us complete success. ",32
663," Dear Helen Ryan, I received your letter and would be glad to travel two weeks at Camp California in the U.S.A. but I will only be able to go in July for in June I will be in Austria with a friend and in August I have rented an appartment with my family. I would rather be accommodated in a tent because I already have the necessary material for camping. While I am at the Camp I would like to play tennis and do photography. I play very well tennis since I have played it since I was a child but I am a novice in photography and I would like to try it as I have always been interested in it. I would like to ask you a few questions: What kind of clothes should I bring? Will you give clothes for  activities? How much money should I bring there? Faithfully Yours, Pascal Fritz  [SEP]  Although many people enjoy shopping, shopping is not always enjoyable. You can fall on a very disagreable sellor and if you find what you wanted, you will not want to pay him or her for it. Sometimes the seller might even ignore you as he or she is talking to another sellor. For example, you walk into a shoe store. Two sellers are talking and although they saw you enter, they continue their discussion so you have to interrupt them. Then, one of them serves you but half listens to you because he or she is still talking to the other sellor. There is nothing more disagreable than that. Also, when you find a nice sellor and he shows you lots of objects, when you don't find what you want, you feel sad for him or her because you made him or her lose his or her time so you feel obliged to buy something. All this  to say that shopping may seem enjoyable but often is not. ",27
